COUNTRY,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Assets - Direct investment, Total financial assets/liabilities","Liabilities - Direct investment, Total financial assets/liabilities","Assets - Other investment, Debt instruments","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Debt securities","Assets - Portfolio investment, Total financial assets/liabilities","Liabilities - Portfolio investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Liabilities - Portfolio investment, Debt securities","Assets - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Equity and investment fund shares"
"Latvia, Republic of",2011,2,US dollar,306520185.7142847,-86343714.285714,44610919.0476189,389985776.19047487,310837371.4285704,-345374857.142856,8634371.4285714,61879661.90476169,389985776.19047487,-328106114.2857132,358326414.2857131,53245290.4761903,31659361.9047618
"Latvia, Republic of",2011,3,US dollar,-330572509.0909021,-155397333.33333,80524072.72727102,490207951.51514107,-213318157.575753,-409683878.7878701,264175466.6666611,340461430.3030231,-24015951.51515101,364477381.81817406,-22603248.48484801,76285963.63636203,-1412703.030303
"Latvia, Republic of",2011,4,US dollar,1036730954.6874999,-544654493.7500001,-32355712.50000001,246712307.8125001,1003027087.5,-279068020.3125001,-84933745.31250001,-53926187.500000015,35052021.87500001,-88978209.37500001,28311248.437500007,31007557.81250001,6740773.437500003
"Latvia, Republic of",2012,1,US dollar,82581853.84615533,525640053.84616315,60297861.5384626,351300584.6153908,242502269.23077348,-291002723.0769282,634438369.2307804,689492938.4615506,938549323.0769396,-249056384.615389,935927676.9230936,55054569.2307702,2621646.1538462
"Latvia, Republic of",2012,2,US dollar,121734991.9354804,-288319717.7419274,88418046.77419107,148644832.25806028,57663943.548385486,-60226785.48386928,212715880.64515528,237062879.0322514,-46131154.838708386,283194033.8709598,-39724049.99999888,25628419.35483799,-6407104.838709497
"Latvia, Republic of",2012,3,US dollar,-170033267.6923057,-157530821.5384597,80015655.38461444,351318736.9230727,-103770303.0769218,-271303081.5384583,-47509295.384614825,-33756604.61538421,61261986.15384542,-95018590.76922965,60011741.53846082,13752690.76923061,1250244.6153846001
"Latvia, Republic of",2012,4,US dollar,697621237.4999998,232108181.24999988,-67428074.99999999,229514793.7499999,276195768.7499999,-296942868.7499999,-15560325,55757831.24999998,1287616893.75,-1231859062.5,1281133425,72614849.99999997,6483468.749999998
"Latvia, Republic of",2013,1,US dollar,-114894725.80645481,-1320629.0322581008,180926177.4193598,274690838.7096849,-287897129.0322659,-92444032.25806704,120177241.9354871,83199629.03226033,84520258.06451844,-1320629.0322581008,64710822.58064693,-36977612.90322682,19809435.483871512
"Latvia, Republic of",2013,2,US dollar,740633399.9999737,338314022.2222102,147604187.3015821,245571568.2539595,822925999.9999707,-97967380.95237748,-64005355.55555328,-3918695.2380950986,82292599.99999706,-86211295.23809218,57474196.82539478,60086660.31745818,24818403.174602292
"Latvia, Republic of",2013,3,US dollar,-407847066.6666707,-217165321.2121234,75478190.90909164,116527733.33333449,-495242866.6666715,-41049542.424242824,291319333.3333362,368121703.0303066,162873990.9090925,205247712.12121412,161549812.1212137,75478190.90909164,1324178.7878788009
"Latvia, Republic of",2013,4,US dollar,-72131923.43749994,-24497634.374999963,89824659.37499994,352493739.0624998,-54439187.49999996,-262669079.6874998,168761481.24999988,176927359.37499988,34024492.18749998,142902867.1874999,31302532.81249998,8165878.1249999935,1360979.687499999
"Latvia, Republic of",2014,1,US dollar,1577815771.428519,-369800571.428559,435542895.23808056,384866520.6349077,-182161022.2222161,50676374.603172906,573875701.5872823,619073549.2063284,1350456901.587256,-731383352.3809278,1323064266.666622,45197847.6190461,28762266.6666657
"Latvia, Republic of",2014,2,US dollar,1347764346.774231,-411321774.19356,-6855362.903226001,163157637.0967788,2341791967.742002,-168641927.4193596,848693927.419379,917247556.4516389,836354274.1935722,80893282.2580668,832241056.4516366,68553629.03226,4113217.7419355996
"Latvia, Republic of",2014,3,US dollar,454666768.18182164,281018527.2727294,161718209.09091032,234623959.09091088,572641527.2727317,-72905750.00000055,383086577.27273023,462620122.7272762,-31813418.181818422,493107981.81818557,-41092331.81818213,79533545.45454606,9278913.636363707
"Latvia, Republic of",2014,4,US dollar,-337447265.6250001,1301046679.6875,103733789.0625,262458984.37500012,-271207617.1875001,-158725195.3125,258709570.3125001,241212304.68750012,98734570.31250004,142477734.375,86236523.43750003,-17497265.62500001,12498046.875
"Latvia, Republic of",2015,1,US dollar,-902040428.5714624,-297301714.2857255,132884857.1428621,296175571.4285826,-1299568857.142906,-163290714.2857204,1219612714.28576,1307451857.142906,-94596000.00000356,1400921714.2857668,-120497285.7142902,86713000.00000326,25901285.71428669
"Latvia, Republic of",2015,2,US dollar,-582477799.9999813,156948477.41934982,-22105419.354838,139264141.93547937,-435476761.2903086,-161369561.2903174,505108832.2580483,542688045.161273,-339318187.0967633,882006232.2580364,-418897696.77418005,37579212.9032246,79579509.6774168
"Latvia, Republic of",2015,3,US dollar,356839650,-381295950,102271800,340164900,603625950,-237893100,64475700,46689300,598067700,-550266750,591397800,-17786400,6669900
"Latvia, Republic of",2015,4,US dollar,-2335117280.000068,54763538.46154002,-69002058.46154043,37239206.15384722,-1651668320.000047,-107336535.3846185,1155510661.538495,1151129578.4615712,-85431120.00000244,1236560698.461574,-63525704.615386434,-4381083.076923203,-23000686.15384681
"Latvia, Republic of",2016,1,US dollar,744949819.3548057,-549896390.3225563,22039935.48386999,-59507825.806448974,1021551009.677374,81547761.29031898,1355456032.258004,1407249880.645099,-68323799.99999696,1475573680.6450958,-67221803.22580346,50691851.61290098,-1101996.7741935
"Latvia, Republic of",2016,2,US dollar,221330135.3846182,-900000601.5384734,145671364.6153865,-20326236.92307719,852572715.3846266,165997601.5384637,337641380.0000044,245044078.46154168,633501050.7692391,-388456972.3076974,650439581.53847,-93726536.92307815,-18067766.15384639
"Latvia, Republic of",2016,3,US dollar,-1456083939.393955,-922335378.7878884,94913446.96969795,283623712.1212151,-544914848.4848542,-188710265.1515171,163027803.0303047,264641022.72727552,-15632803.03030319,280273825.75757873,3349886.363636398,101613219.6969708,-18982689.393939592
"Latvia, Republic of",2016,4,US dollar,-586946250,-1194392460.9375,-17263125,131631328.12500001,-843735234.3750001,-148894453.125,271894218.75,390578203.125,500630625,-111131367.1875,501709570.3125,118683984.375,-1078945.3125
"Latvia, Republic of",2017,1,US dollar,474899427.6922974,-41527079.999999106,117127661.53845899,176756289.2307654,504713741.5384506,-59628627.6923064,61758221.538460195,218283369.23076448,-225736947.6923028,445085113.8461442,-242773698.4615332,157589944.6153812,17036750.769230403
"Latvia, Republic of",2017,2,US dollar,160911074.1935497,318515756.4516156,90374712.90322658,163115335.4838724,786921280.6451681,-72740622.58064577,-198383516.129034,-121234370.96774301,241366611.2903246,-362600982.25806755,225936782.2580664,77149145.16129097,15429829.0322582
"Latvia, Republic of",2017,3,US dollar,-720034515.3846203,-1561053623.0769339,18793723.07692321,480414546.1538494,-615494430.769235,-461620823.0769262,1132321815.384623,1270925523.076932,14095292.3076924,1256830230.769239,12920684.6153847,138603707.6923086,1174607.6923077
"Latvia, Republic of",2017,4,US dollar,-1172676171.428558,885394057.1428467,350860942.8571387,369699114.2857099,-536887885.7142794,-20015557.14285691,1070243614.2857021,1312785071.428556,17660785.714285508,1296301671.428556,11773857.142857,243718842.85714,5886928.571428502
"Latvia, Republic of",2018,1,US dollar,-304845142.85714656,-2907091785.7143207,44251714.28571482,138901214.285716,-1028852357.14287,-93420285.71428683,-1618875214.285734,-1574623500.000019,-577730714.2857212,-996892785.7142975,-562980142.8571496,44251714.28571482,-14750571.42857161
"Latvia, Republic of",2018,2,US dollar,-857873142.8571595,-1551320600.00003,-212085304.7619089,-209702323.8095279,316936466.6666728,-2382980.952380999,-439659985.7142942,-310979014.28572035,689872985.7142992,-1000852000.000019,692255966.6666801,129872461.90476441,-1191490.476190499
"Latvia, Republic of",2018,3,US dollar,-102335335.384612,-73262796.92307453,-136059479.9999955,46516061.53846002,718673150.7692072,-182575541.5384556,260489944.61537609,410504243.0769096,453531599.9999852,-44190258.46153702,437250978.4615242,148851396.9230721,16280621.538461009
"Latvia, Republic of",2018,4,US dollar,-186050237.5,265949112.5,-10272712.5,463413475.0000001,-616362750.0000001,-472544775.00000006,292201600.0000001,490807375.0000001,94737237.50000001,394928725.0000001,97020062.50000003,198605775,-1141412.5
"Latvia, Republic of",2019,1,US dollar,471345142.85713077,-693956342.8571252,11357714.285714,206710399.9999947,1022194285.71426,-195352685.71428072,186266514.2857095,327102171.4285631,845013942.8571212,-519047542.85712963,825705828.5714076,140835657.1428536,19308114.285713788
"Latvia, Republic of",2019,2,US dollar,-434871900.0000001,-133720300.00000001,19102900,108998900,-1294502400,-89896000.00000001,-171926100,21350300,318007100.0000001,-295533100.0000001,286543500.0000001,193276400,30339900.00000001
"Latvia, Republic of",2019,3,US dollar,-259082584.8484791,-334694669.6969623,1111942.4242424,425873948.4848391,493702436.3636254,-424762006.0605967,-255746757.5757519,-132321148.4848456,113418127.2727248,-245739275.75757033,141216687.8787848,123425609.09090641,-28910503.03030239
"Latvia, Republic of",2019,4,US dollar,-236920737.5,-247991800,57569524.99999999,374201912.4999999,-162744618.75,-317739493.7499999,302240006.2499999,336560299.99999994,-43177143.74999999,379737443.7499999,-49819781.24999999,34320293.74999999,6642637.499999998
"Latvia, Republic of",2020,1,US dollar,50722403.12499998,-638440682.8124998,67262317.18749997,228250814.0624999,-462014932.81249994,-160988496.875,-333003603.12499994,-59543690.624999985,-568973043.7499998,509429353.12499994,-567870382.8124998,273459912.49999994,-1102660.9375
"Latvia, Republic of",2020,2,US dollar,298482896.7741918,176226064.516128,-4405651.612903201,115648354.838709,318308329.0322563,-121155419.354838,2147755161.29031,2233665367.741923,1078283232.258058,1155382135.483864,1078283232.258058,85910206.45161241,0
"Latvia, Republic of",2020,3,US dollar,-16364748.484848399,11689106.060606001,57276619.6969694,338984075.75757396,156634021.21212038,-281707456.06060463,896554434.8484803,1221511583.333327,-611340246.9696938,1832851830.303021,-617184799.9999968,324957148.48484683,5844553.0303030005
"Latvia, Republic of",2020,4,US dollar,-416321563.07693654,-318503889.2307795,77538400.00000252,256473169.2307775,-71573907.69231,-177741870.7692365,362641132.30770403,584520246.153865,-705002990.7692535,1289523236.9231188,-710967483.076946,221879113.846161,5964492.3076925
"Latvia, Republic of",2021,1,US dollar,233740438.0952345,87953876.19047484,107231438.0952364,622906219.0476096,-137352628.57142648,-515674780.952373,320489466.66666174,608448047.6190382,163859276.1904737,444588771.4285646,201209552.38094932,287958580.9523765,-37350276.19047562
"Latvia, Republic of",2021,2,US dollar,-412398799.9999848,-517307266.6666476,-176053288.8888824,610157288.8888664,-397928666.666652,-785004733.3333044,308696177.7777664,819974222.222192,-733153422.2221953,1554333488.888832,-737976799.9999728,512483888.88886994,4823377.7777776
"Latvia, Republic of",2021,3,US dollar,36542753.03030352,-240474890.90909413,141455818.1818201,577611257.5757653,708457889.3939489,-434976640.9090967,35363954.54545502,409043074.24242973,518671333.3333403,-108449460.6060621,495095363.63637024,374857918.1818232,23575969.69697001
"Latvia, Republic of",2021,4,US dollar,-522591271.21214056,29731669.6969708,2601521098.484944,1923410324.242495,219556945.4545536,678110774.2424493,-813046813.6363937,-1276174745.454593,960561636.3636718,-2236736381.818264,926255863.6363976,-463127931.81819886,34305772.72727399
"Latvia, Republic of",2022,1,US dollar,843506650,106560015.625,-564207240.625,103194962.5,872670443.75,-667402203.125,461012278.125,668523887.5,-299489728.125,968013615.625,-288272884.375,207511609.375,-11216843.75
"Latvia, Republic of",2022,2,US dollar,436507476.1904841,344947371.4285777,93689409.52381119,433313519.0476269,639856080.9523925,-338559457.1428632,443960042.85715085,638791428.5714401,295973361.9047672,342818066.66667277,292779404.76190996,194831385.71428922,3193957.1428572
"Latvia, Republic of",2022,3,US dollar,-366533660.6060585,7048724.242424201,185280751.5151504,592092836.3636329,363512778.7878767,-407819045.45454305,35243621.21212101,75522045.454545,13090487.878787799,62431557.57575721,47327148.48484821,41285384.84848461,-34236660.60606041
"Latvia, Republic of",2022,4,US dollar,1544044868.749999,-303094068.7499999,117359656.2499999,88785131.24999997,1204212124.999999,28574524.99999999,306155624.9999999,462294993.74999976,787840474.9999996,-325545481.2499998,788860993.7499995,156139368.7499999,-1020518.7499999999
"Latvia, Republic of",2023,1,US dollar,374479147.6923237,173826996.9230844,-13949080.000000602,277908593.84616566,-180265033.84616148,-292930680.0000125,419545406.15386415,616978538.4615648,949610446.1538868,-331558901.5384757,962486520.0000412,197433132.3077007,-12876073.8461544
"Latvia, Republic of",2023,2,US dollar,-48990556.45161451,173099966.12903792,327692388.70968807,513856503.2258233,293943338.709687,-186164114.5161351,-357086722.58065677,-252573535.4838792,-388658414.51614183,137173558.0645206,-378860303.2258189,104513187.0967776,-9798111.2903229
"Latvia, Republic of",2023,3,US dollar,102313215.384619,279728684.61539465,340681238.4615506,756464730.7692577,447348207.6923236,-415783492.3077071,-140408561.5384665,180680784.615391,880546715.3846468,-699865930.7692555,882723592.3077238,321089346.1538576,-2176876.9230770003
"Latvia, Republic of",2023,4,US dollar,-870833571.4285916,49454746.03174718,365535079.36508787,140838515.8730192,-284902341.2698479,224696563.49206868,-178467126.98413113,-40853920.634921595,695591753.9682702,-736445674.6031919,678390103.174619,137613206.3492096,16126547.61904799
"Latvia, Republic of",2024,1,US dollar,1246483822.2222211,481003774.6031739,-509234244.4444437,136809199.9999998,2069510596.825394,-644957657.1428562,-635185571.4285705,-406084450.7936502,320307253.9682535,-726391704.7619036,323564615.8730154,229101120.6349203,-3257361.9047619
"Latvia, Republic of",2024,2,US dollar,619112539.6825622,-303634323.8095348,62449612.69841497,160430901.5873074,1511711314.285769,-96904571.42857495,-15074044.44444499,216420209.5238174,1160701422.222264,-944281212.698447,1148857530.158772,230417536.5079449,11843892.06349249
"Latvia, Republic of",2024,3,US dollar,-128506418.18182339,157063400.0000064,406387818.1818348,426158036.36365384,-39540436.36363798,-19770218.18181899,-216374054.54546338,124113036.3636414,428354727.27274483,-304241690.9091034,439338181.8181998,340487090.9091049,-10983454.545455
"Latvia, Republic of",2024,4,US dollar,-1292446375,-191196612.5,262761825,563976600.0000001,-2164046575,-301214775,-292669675,11749512.5,64088250.000000015,-52338737.50000001,96132375.00000003,304419187.5,-33112262.500000007
"Latvia, Republic of",2025,1,US dollar,1379619404.761944,397785000.00001127,-367267103.1746136,-771366150.7936727,1637443015.873062,404099047.6190591,646137539.682558,1048131904.761935,-79977936.50793877,1128109841.269873,-71559206.34920838,401994365.0793765,-8418730.158730397
