COUNTRY,YEAR,QUARTER,UNIT,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options,"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities"
Suriname,2011,4,US dollar,-72454240.4998646,0,-6203342.79704,-119160896.9669046,-40503313.67
Suriname,2012,1,US dollar,5118646.62461539,0,1200000,-22709315.08842292,-29027961.7130383
Suriname,2012,2,US dollar,-73435052.35,0,-2400000,-118807025.7941408,-42971973.4441408
Suriname,2012,3,US dollar,-66053726.7576923,0,-8200000,-110344010.3234609,-36090283.565769
Suriname,2012,4,US dollar,-185749214.413846,0,15200000,-235325768.873691,-64776554.4598448
Suriname,2013,1,US dollar,22146639.0401108,0,1643692.30769234,-23582174.629884,-47372505.9776867
Suriname,2013,2,US dollar,-215755063.409917,0,9640307.69230781,-227136991.3382574,-21022235.6206487
Suriname,2013,3,US dollar,59161121.9998187,0,6046461.53846153,15476377.67060423,-49731205.867676
Suriname,2013,4,US dollar,-109290132.82108,0,-16088307.6923077,-194890110.6397193,-69511670.1263317
Suriname,2014,1,US dollar,-116503448.118072,NA,5625784.51523077,-111375383.3582515,-497719.7554106
Suriname,2014,2,US dollar,-57291171.8656078,NA,-4532923.07692308,-67231432.6469378,-5407337.70440683
Suriname,2014,3,US dollar,-104012249.57919,NA,-1519692.3076923,-134488540.2674156,-28956598.3805332
Suriname,2014,4,US dollar,-254458301.480586,NA,-146153.846153853,-383841215.1121961,-129236759.785456
Suriname,2015,1,US dollar,-16276247.3350965,NA,-6506769.23076923,-136528425.39709,-113745408.831224
Suriname,2015,2,US dollar,-300760366.268723,NA,4120923.07692308,-269058990.6428665,-22419547.4510669
Suriname,2015,3,US dollar,-42617568.358808704,NA,9562153.84615385,-84947656.85120514,-51768615.7015292
Suriname,2015,4,US dollar,-152741969.538072,NA,2295147.63014763,-242921898.8287739,-78807884.0037396
Suriname,2016,1,US dollar,59959084.4501965,NA,8937755.51725788,-15228926.88808166,-83288516.2483932
Suriname,2016,2,US dollar,-121701296.134653,NA,-54009050.8537471,-78816798.9758681,-63369337.00857
Suriname,2016,3,US dollar,-7375384.59630107,NA,-7782895.18624973,-91524887.06195752,-76366607.279407
Suriname,2016,4,US dollar,394501965.966056,NA,-455036841.293932,412502445.5547283,-76962679.1173956
Suriname,2017,1,US dollar,-16437492.9915359,0,-543390.951924469,-81607137.8291266,-64626253.88566626
Suriname,2017,2,US dollar,-34912272.9767899,0,6174932.39136606,5049270.6793418,33786611.26476575
Suriname,2017,3,US dollar,16674196.74437,0,19802472.7002414,-5467878.913919403,-41944548.35853078
Suriname,2017,4,US dollar,-6327906.9778147,0,1188723.89169658,-30558012.84814041,-25418829.76202233
Suriname,2018,1,US dollar,96417158.24419376,0,-44237227.97749458,31636734.80661017,-67043195.46008901
Suriname,2018,2,US dollar,-203389595.5474842,0,52680601.19902781,-197234511.0420951,-46525516.69363876
Suriname,2018,3,US dollar,-73755101.70423786,0,35164752.91531348,-18107482.3532244,20482866.4357
Suriname,2018,4,US dollar,-57368440.84770711,0,14894875.16089778,-68578479.95520484,-26104914.26839552
Suriname,2019,1,US dollar,-130479372.4998522,0,-4312145.128447824,-194332341.2263494,-59540823.59804936
Suriname,2019,2,US dollar,-31288745.63120912,0,15443756.92062823,7451032.6719221,23296021.38250301
Suriname,2019,3,US dollar,-117662289.7822445,0,-11059930.59956977,-157724536.4087598,-19063007.49694553
Suriname,2019,4,US dollar,-144092206.6306986,0,-116659286.4779,-82729370.9918474,63092486.06675116
Suriname,2020,1,US dollar,-11992493.82455609,0,3343020.09998489,37032854.90887213,39954457.563441
Suriname,2020,2,US dollar,111138476.5235173,0,7929718.607202793,108660549.6711731,-15017130.34656354
Suriname,2020,3,US dollar,43609708.67046541,0,-5462887.818733486,54122338.45845817,21212259.92371753
Suriname,2020,4,US dollar,114713472.0587495,0,-41073517.64444563,85538821.29628317,-46498430.53609419
Suriname,2021,1,US dollar,-62069595.46245056,0,18124708.98723424,145798827.0846141,147482442.8177611
Suriname,2021,2,US dollar,87883764.51655823,0,-61342292.16394411,29141944.95390002,-30276555.06014161
Suriname,2021,3,US dollar,-193269029.4459571,0,1711303.959801955,-135569111.9481691,44894118.84178524
Suriname,2021,4,US dollar,7834973.255382367,0,-5033110.175943337,81896783.8656031,-38054657.10970451
Suriname,2022,1,US dollar,122273519.3303499,0,14534739.67940565,266805548.480075,55934894.58055227
Suriname,2022,2,US dollar,-71666406.3233767,0,-19632355.12981261,-64835522.77735521,-39108564.08968158
Suriname,2022,3,US dollar,21810500.33908918,0,29321186.44714029,118845257.1283372,48475037.03696131
Suriname,2022,4,US dollar,-106624044.8905428,0,-4867812.479258113,-142915355.1557735,-68652771.15823314
Suriname,2023,1,US dollar,45084816.31559076,0,57342808.06811086,112637785.3188995,-285716.4879250303
Suriname,2023,2,US dollar,-35089609.28771045,0,-16723753.88426742,31570142.06269614,-18500500.28527497
Suriname,2023,3,US dollar,-98727603.474176,0,16591178.18067313,87350050.78977112,90715864.96257585
Suriname,2023,4,US dollar,-193161537.9083824,0,-22524117.8907833,-237711314.1968336,-8450905.950061563
Suriname,2024,1,US dollar,28959325.78020412,0,3616122.416661415,82692621.23898672,-22410081.80971964
Suriname,2024,2,US dollar,20073033.01531044,0,-9045305.786617031,63744291.10336326,-7569042.420045171
Suriname,2024,3,US dollar,-132914468.3547956,0,84435478.46474165,60645407.75052417,17568902.64883333
Suriname,2024,4,US dollar,-119600168.2017418,0,-14039651.97806286,-242594805.2433341,38915212.93338722
Suriname,2025,1,US dollar,54838310.299096,0,-69231943.19715151,9655889.90376251,-39427287.37490297
Peru,1999,1,US dollar,238358608,0,239500000,306260851.977023,-64190756.022977
Peru,1999,2,US dollar,680018608,0,-44700000,-224677963.0119771,-849402571.011977
Peru,1999,3,US dollar,381186608,0,48100000,-476369910.621364,-849986518.621364
Peru,1999,4,US dollar,-203122392,0,109000000,-149751346.343681,-48428954.343681
Peru,2000,1,US dollar,-426364235.03,0,39900000,-565611925.038242,-96747690.0082424
Peru,2000,2,US dollar,-69982377.887143,0,201343000,-242674067.895385,-296734690.008242
Peru,2000,3,US dollar,23736965.8628569,0,105212000,-101113724.1453851,-147962690.008242
Peru,2000,4,US dollar,159849744.271948,0,59624547,-105927398.7362941,-268251690.008242
Peru,2001,1,US dollar,-42305183.7033919,0,94585000,-263020183.703392,-234500000
Peru,2001,2,US dollar,-388837963.347278,0,-14501941.34,-481799904.687278,-75560000
Peru,2001,3,US dollar,-272248615.222157,0,40804000,-557979615.222157,-266435000
Peru,2001,4,US dollar,16619143.2240908,0,251051547,-231094309.7759089,-493365000
Peru,2002,1,US dollar,847325058.429292,0,-1064444428.57143,-491321134.4174081,-206201764.275272
Peru,2002,2,US dollar,-101172319.992859,0,-19094000,-569974519.3399619,-458508199.347103
Peru,2002,3,US dollar,194478050.119071,0,-41454428.5714285,-983758293.163712,-1065081914.71135
Peru,2002,4,US dollar,769826537.375707,0,-283264453,62217147.97598,-426044936.399727
Peru,2003,1,US dollar,77223872.3918266,0,-544067000,-987503322.242005,-448160194.633832
Peru,2003,2,US dollar,373320340.527075,0,250454000,495542730.5270751,-128231610
Peru,2003,3,US dollar,-34600619.667127,0,457876000,238004651.1296876,-185270729.203185
Peru,2003,4,US dollar,34976702.2127914,0,-87903906,-566271742.990394,-513344539.203185
Peru,2004,1,US dollar,-52107359.2576491,0,160676323.699665,-336940550.879651,-445509515.321666
Peru,2004,2,US dollar,-7854009.85101762,0,-176673540.10866,-588115110.431344,-403587560.471667
Peru,2004,3,US dollar,333091059.565511,0,-46640291.6699998,-32069138.03448795,-318519905.93
Peru,2004,4,US dollar,-140401709.883656,0,-756979925.420701,-1328803042.546025,-431421407.241667
Peru,2005,1,US dollar,157473957.241858,0,-354962995.507973,-714302025.101115,-516812986.835
Peru,2005,2,US dollar,784008756.464619,0,-219540175.623373,-37203542.488754,-601672123.33
Peru,2005,3,US dollar,2523290847.495,0,-712137894.011978,1011470784.518022,-799682168.965
Peru,2005,4,US dollar,851898706.443,0,-475063849.639911,-283717229.176911,-660552085.98
Peru,2006,1,US dollar,688957064.046886,0,686684923.585645,268866255.705691,-1106775731.92684
Peru,2006,2,US dollar,950256299.347175,0,494550563.633422,-207236899.6100434,-1652043762.59064
Peru,2006,3,US dollar,460537156.594895,0,288796680.720993,619526557.9744785,-129807279.341406
Peru,2006,4,US dollar,-1088870926.06806,0,141572034.752878,-1525203178.72951,-577904287.41433
Peru,2007,1,US dollar,2385307933.67305,0,-2558792924.08217,-1451347040.259123,-1277862049.85
Peru,2007,2,US dollar,-1280081839.07678,0,504648348.055471,-2659264699.693487,-1883831208.67218
Peru,2007,3,US dollar,1027160350.34991,0,-667579321.526014,-1543383643.458323,-1902964672.28222
Peru,2007,4,US dollar,-2203965899.96859,0,-917529415.297651,-3482221719.55136,-360726404.285117
Peru,2008,1,US dollar,-1608673338.98765,0,-2807605645.24318,-7473555453.28854,-3057276469.05771
Peru,2008,2,US dollar,-1170732326.76061,0,869313531.479142,-1920730449.546388,-1619311654.26492
Peru,2008,3,US dollar,209239210.898311,0,373671869.605075,-1472234477.539947,-2055145558.04333
Peru,2008,4,US dollar,201488423.138262,0,1104094157.74087,1849464607.61931,543882026.740178
Peru,2009,1,US dollar,736517677.576837,0,-46902894.4920047,-922493360.0478896,-1612108143.13272
Peru,2009,2,US dollar,584511563.523223,0,1455527650.35913,76478969.618173,-1963560244.26418
Peru,2009,3,US dollar,578574732.523357,0,321951896.02093,-1489681963.058387,-1580323360.64828
Peru,2009,4,US dollar,-1483340081.32151,0,569463536.678617,-1777824757.50956,-863948212.866667
Peru,2010,1,US dollar,-68036529.3866466,0,-432671293.346423,-2761275828.8469,-2260568006.11383
Peru,2010,2,US dollar,817707144.854443,0,297159522.936003,-741800946.6291542,-1856667614.4196
Peru,2010,3,US dollar,-3863560435.06798,0,-939064628.037867,-7410143831.213997,-2607518768.10815
Peru,2010,4,US dollar,1026344995.80836,0,-1658424166.83212,-1925681867.46805,-1293602696.44429
Peru,2011,1,US dollar,-1023760248.78926,0,-139099399.280345,-3467402547.16774,-2304542899.09813
Peru,2011,2,US dollar,-1869531603.98988,0,705826807.224684,-2691054633.66832,-1527349836.90312
Peru,2011,3,US dollar,513049990.599991,0,116355380.556183,-1144796980.028956,-1774202351.18513
Peru,2011,4,US dollar,-368689515.72611,0,17246674.2909047,-2085015313.313879,-1733572471.87867
Peru,2012,1,US dollar,-1489485628.75462,-29016000,-1956397305.24451,-7242698048.758562,-3767799114.75942
Peru,2012,2,US dollar,-1077954067.16099,-25505015.8945283,-573224267.281396,-3370243600.09773,-1693560249.76082
Peru,2012,3,US dollar,-2422122077.3373,-67805987.4917258,-480753766.302202,-5589205746.95386,-2618523915.82264
Peru,2012,4,US dollar,-509458536.832893,0,1066427302.32846,-3237150851.548272,-3794119617.04383
Peru,2013,1,US dollar,-272091934.776693,-39381687.9680755,-1611832335.70223,-6072501968.84128,-4149196010.39428
Peru,2013,2,US dollar,2703188507.91006,30891403.9336488,-3578775272.92474,-2482363681.913377,-1637668320.83234
Peru,2013,3,US dollar,1475980691.79242,63596689.6874041,-832793820.204672,-1897098199.123534,-2603881760.39869
Peru,2013,4,US dollar,-616067504.153676,13252395.1053447,1500863228.74275,-44888367.164579,-942936486.859002
Peru,2014,1,US dollar,1962685047.08747,60226492.3978555,673889813.169843,-155970524.9627275,-2852771877.6179
Peru,2014,2,US dollar,-766544286.014578,-33044109.9948881,958409558.346592,-1396147735.399271,-1554968897.7364
Peru,2014,3,US dollar,-5881972916.10826,22507640.2890224,131968719.898216,-3265955240.337372,2461541315.58364
Peru,2014,4,US dollar,-156208537.882008,90844955.836696,-41465428.7029259,-1586434712.83372,-1479605702.08548
Peru,2015,1,US dollar,409742686.003104,209241412.344976,-164772041.529679,-2953414150.440632,-3407626207.25904
Peru,2015,2,US dollar,149909128.202675,81879700.5148675,1310360901.52115,-144889491.8001,-1687039222.03879
Peru,2015,3,US dollar,526864334.086475,-23083850.9008481,-2496487245.81439,-3707597920.05129,-1714891157.42253
Peru,2015,4,US dollar,-1780853371.46705,85067842.0951654,-816584430.79118,-3702428016.457748,-1190058056.29469
Peru,2016,1,US dollar,-634971785.534867,114547652.326984,-581083554.071134,-1923751786.420845,-822244099.141825
Peru,2016,2,US dollar,1103088882.10532,-138979371.741102,1292028956.94248,813727616.5719,-1442410850.7348
Peru,2016,3,US dollar,-890520499.155306,-72205163.8430025,-1279022011.43662,-4208716115.06426,-1966968440.62933
Peru,2016,4,US dollar,1117449663.13118,-32370863.4175965,-224606288.145698,-186911027.98445,-1047383539.55234
Peru,2017,1,US dollar,1687172906.42311,-17787401.822368,-340923453.838872,-1074212534.867203,-2402674585.62908
Peru,2017,2,US dollar,2079202993.57743,-141599914.361362,-2673819564.14302,-420879562.5625126,315336922.364437
Peru,2017,3,US dollar,3087351673.06575,-161607488.910634,-3522795815.97567,-2140173265.75201,-1543121633.93145
Peru,2017,4,US dollar,2061800572.05241,17142548.1100521,1336030296.45857,1053541221.58962,-2361432195.03141
Peru,2018,1,US dollar,-881228002.186937,-25340479.3336574,2931979489.06056,-373949088.87912,-2399360096.41909
Peru,2018,2,US dollar,3714558906.3632,-1730000,-95094954.5799858,1555896849.57894,-2061837102.20427
Peru,2018,3,US dollar,1080584669.90491,28564941.4271797,117371903.318659,-925514904.43829,-2152036419.08904
Peru,2018,4,US dollar,-759708002.620677,44917861.2262148,-1423073387.79059,-2187378930.746688,-49515401.5616357
Peru,2019,1,US dollar,-68852694.2753547,-69515840.4037526,-1546596936.70096,-3085883346.162574,-1400917874.78251
Peru,2019,2,US dollar,-511586345.55834,23985362.370837,-1752404731.53223,-3743634483.202818,-1503628768.48308
Peru,2019,3,US dollar,-729058226.489724,47822425.9043105,-972068940.672567,-2821337301.78475,-1168032560.52676
Peru,2019,4,US dollar,2740790365.0562,0,745525941.468707,2284262201.715605,-1203054104.80931
Peru,2020,1,US dollar,-782062170.38058,191818781.375287,-452454298.195738,-1744579830.716918,-701882143.515886
Peru,2020,2,US dollar,1429421919.10006,-45864886.6038679,-3771963538.77163,-2051764259.26695,337642247.008485
Peru,2020,3,US dollar,-326952156.103316,102003019.86076,-1512079039.56222,-851135644.48204,885892531.322738
Peru,2020,4,US dollar,1506186844.21859,94708938.3429701,-4013275165.5256,-1717206149.711218,695173233.252817
Peru,2021,1,US dollar,2951814885.42984,114263499.732036,-7955036969.36762,-7723451708.49106,-2835493124.28531
Peru,2021,2,US dollar,8441183271.7141,56715818.087496,-3827765017.48031,5389406306.45084,720272234.129556
Peru,2021,3,US dollar,40342992.2258811,62400000,-6591970488.19598,-7723176951.09649,-1226865859.17769
Peru,2021,4,US dollar,1546357346.33082,236730891.032943,-5273830897.26438,-5322015192.18943,-1831272532.28882
Peru,2022,1,US dollar,3276130485.68996,-2885766.21539244,1258367957.456,-348511292.96788,-4881123969.89844
Peru,2022,2,US dollar,970778824.963934,-172324355.060937,418992396.303008,-657894818.05973,-1879341684.26574
Peru,2022,3,US dollar,-2471260253.70532,-28486195.9143117,-1753960035.5351,-6751948610.68724,-2500242125.53251
Peru,2022,4,US dollar,523206786.641483,-109801910.585001,1074851664.44001,-1034773841.63605,-2528030382.13254
Peru,2023,1,US dollar,-1195733571.18502,-139106866.891994,1267182238.83328,-1183882691.748085,-1139224492.50434
Peru,2023,2,US dollar,-1653395865.30196,-262564118.013096,1783332765.63182,-36818271.371286,100808946.311956
Peru,2023,3,US dollar,1938896383.87813,95683496.0375493,1478591614.74596,1559594828.059688,-1963576666.60194
Peru,2023,4,US dollar,-1207208355.6827,-611936.369846621,1600795267.96718,532035923.07072,139060947.156082
Peru,2024,1,US dollar,70125937.2076847,-100363508.431269,916852882.556936,-1719615967.696936,-2605474525.18029
Peru,2024,2,US dollar,175448228.643526,70639572.3521308,2419832720.36902,2083812026.883946,-582116439.73073
Peru,2024,3,US dollar,1026539014.98971,-60458900.4812001,-5007977406.19999,-4548560408.25171,-505956022.050238
Peru,2024,4,US dollar,2592136422.21753,-48175196.2016271,1580038329.98252,2189222816.611865,-1932313708.20655
"Lesotho, Kingdom of",1999,1,US dollar,57382966.02024255,NA,0,50713108.65671673,-4997001.018831958
"Lesotho, Kingdom of",1999,2,US dollar,66016170.05557198,NA,0,59151378.17474896,-5541509.618679328
"Lesotho, Kingdom of",1999,3,US dollar,83926843.30043934,NA,0,76008929.60954829,-5763055.831153603
"Lesotho, Kingdom of",1999,4,US dollar,108326435.8100002,NA,0,101860171.3279793,-5736586.10640136
"Lesotho, Kingdom of",2000,1,US dollar,116132060.7846454,NA,0,105808349.5642617,-8178455.852485132
"Lesotho, Kingdom of",2000,2,US dollar,93640212.75934055,NA,0,84532206.60158958,-8405179.735949187
"Lesotho, Kingdom of",2000,3,US dollar,61845462.55147958,NA,0,51833559.80489245,-8234749.734284196
"Lesotho, Kingdom of",2000,4,US dollar,73760110.01925965,NA,0,65591599.6462525,-7585542.765214073
"Lesotho, Kingdom of",2001,1,US dollar,101207542.7107891,NA,0,96175463.59908508,-7504679.252009706
"Lesotho, Kingdom of",2001,2,US dollar,63642854.75434299,NA,0,59688241.24091805,-8075986.624203026
"Lesotho, Kingdom of",2001,3,US dollar,76841255.28215164,NA,0,67071725.90898453,-7756817.255540337
"Lesotho, Kingdom of",2001,4,US dollar,58232593.0917237,NA,0,51874830.3470333,-6357762.744690161
"Lesotho, Kingdom of",2002,1,US dollar,57703953.62384006,NA,0,54663640.18816829,-5705635.872880084
"Lesotho, Kingdom of",2002,2,US dollar,70831000.58956371,NA,0,63173187.83350483,-7378519.30472512
"Lesotho, Kingdom of",2002,3,US dollar,55048722.93254691,NA,0,50486878.67107644,-7391195.031022598
"Lesotho, Kingdom of",2002,4,US dollar,65754915.82699093,NA,0,57839011.07388171,-7915904.753109223
"Lesotho, Kingdom of",2003,1,US dollar,93479943.49868026,NA,-65833.37896063275,82742885.25253506,-9222874.503878059
"Lesotho, Kingdom of",2003,2,US dollar,55697379.95934056,NA,-70640.68103048265,49691574.57415322,-10840652.89865078
"Lesotho, Kingdom of",2003,3,US dollar,117190966.0682217,NA,-74017.2770164008,104703971.9320726,-11358831.72320827
"Lesotho, Kingdom of",2003,4,US dollar,90293204.60816231,NA,-81621.43909018295,77685802.3108268,-12525780.85824542
"Lesotho, Kingdom of",2004,1,US dollar,124488666.9037031,NA,-161632.2135138786,116527321.6975853,-12443345.47595393
"Lesotho, Kingdom of",2004,2,US dollar,119974363.7941688,NA,-166118.4361463054,105989387.3239781,-13818858.03404449
"Lesotho, Kingdom of",2004,3,US dollar,107305002.4856383,NA,-172103.9777877038,97936130.05223732,-14316775.97812204
"Lesotho, Kingdom of",2004,4,US dollar,91822351.75890449,NA,-181428.481743207,76548471.82683891,-15092451.45032248
"Lesotho, Kingdom of",2005,1,US dollar,142277010.467913,NA,-836.85323100664,134984676.8524671,-7291496.762214853
"Lesotho, Kingdom of",2005,2,US dollar,86071936.61849593,NA,-778.7955770641587,79285517.02213009,-6785640.800788764
"Lesotho, Kingdom of",2005,3,US dollar,138849565.3882534,NA,-768.7671435073001,132150533.4967173,-6698263.124392674
"Lesotho, Kingdom of",2005,4,US dollar,84238714.51686926,NA,-764.7060622837794,77575070.86071783,-6662878.950089165
"Lesotho, Kingdom of",2006,1,US dollar,134531625.1886134,NA,-361738.9511604946,127503147.2320385,-6666739.005414559
"Lesotho, Kingdom of",2006,2,US dollar,147283312.7789568,NA,-344180.1929783629,140595996.1610547,-6343136.424924069
"Lesotho, Kingdom of",2006,3,US dollar,114582446.8494635,NA,-310214.8263843816,113732060.4243809,-5717165.034287636
"Lesotho, Kingdom of",2006,4,US dollar,115403092.1909471,NA,-303599.4809097739,109504246.4836866,-5595246.226350659
"Lesotho, Kingdom of",2007,1,US dollar,107866207.6366247,NA,-6223.862658253231,78937694.00106306,-18409494.2028177
"Lesotho, Kingdom of",2007,2,US dollar,80675230.48708,NA,-6346.403634091752,61896927.28976184,-18771956.79368406
"Lesotho, Kingdom of",2007,3,US dollar,113223716.1653757,NA,-6332.082551594744,92878031.36237328,-18729596.6228893
"Lesotho, Kingdom of",2007,4,US dollar,147125999.2283901,NA,-6662.790732107442,127411541.7621654,-19707794.67549247
"Lesotho, Kingdom of",2008,1,US dollar,120487693.4427011,NA,0,115279035.8377566,-2975240.330800096
"Lesotho, Kingdom of",2008,2,US dollar,136397494.1912223,NA,0,133508872.052836,-2888622.138386351
"Lesotho, Kingdom of",2008,3,US dollar,15762700.55304657,NA,0,10650514.32450686,-2886367.589064872
"Lesotho, Kingdom of",2008,4,US dollar,131279999.5138585,NA,0,128494056.336099,-2259743.003700841
"Lesotho, Kingdom of",2009,1,US dollar,91975183.17075008,NA,0,71059988.58017702,-18858019.0014683
"Lesotho, Kingdom of",2009,2,US dollar,61248315.94783964,NA,0,38184391.81628847,-22534051.31108087
"Lesotho, Kingdom of",2009,3,US dollar,197294291.3549117,NA,0,124565708.0623146,-24472619.64377863
"Lesotho, Kingdom of",2009,4,US dollar,-56683813.68442951,NA,0,-82724004.97569853,-25483667.15742868
"Lesotho, Kingdom of",2010,1,US dollar,164039746.6212857,NA,0,158485963.975169,-2314381.224959487
"Lesotho, Kingdom of",2010,2,US dollar,94298458.19231077,NA,0,103080961.2448436,-2303721.42167203
"Lesotho, Kingdom of",2010,3,US dollar,136279462.0682933,NA,0,130720372.2806635,-2375244.349129834
"Lesotho, Kingdom of",2010,4,US dollar,91360426.35575677,NA,0,88301016.46083209,-2515321.863475396
"Lesotho, Kingdom of",2011,1,US dollar,-29158038.7311712,NA,-101356.138132073,-48320059.04309818,-15783006.52377745
"Lesotho, Kingdom of",2011,2,US dollar,-45643791.11307171,NA,-104400.2091067568,-53489981.47636262,-16257024.11104653
"Lesotho, Kingdom of",2011,3,US dollar,86109767.44166376,NA,-99359.9215196564,67751972.36427136,-15472159.04677917
"Lesotho, Kingdom of",2011,4,US dollar,-97926442.87620968,NA,-87729.7572730383,-112221450.7901784,-13661129.52691143
"Lesotho, Kingdom of",2012,1,US dollar,-63265348.17807336,NA,-95376.11500370936,-80480543.60627992,-14962256.9278488
"Lesotho, Kingdom of",2012,2,US dollar,-74194653.96719576,NA,-91074.07779966953,-58353733.47434161,-14287369.02790126
"Lesotho, Kingdom of",2012,3,US dollar,-64935385.11186261,NA,-89517.46311664036,-80662454.17078128,-14043172.99596771
"Lesotho, Kingdom of",2012,4,US dollar,-26057892.23825509,NA,-85162.00272834889,-31312445.34848795,-13359904.2617972
"Lesotho, Kingdom of",2013,1,US dollar,-54589322.34866172,NA,-85936.21844958319,-69292137.79820375,-13552162.96614566
"Lesotho, Kingdom of",2013,2,US dollar,-75141741.6769777,NA,-81035.48145807533,-79994956.3457791,-12778905.71894129
"Lesotho, Kingdom of",2013,3,US dollar,90595132.1131736,NA,-77067.53925186503,85908495.21118954,-12153180.31521671
"Lesotho, Kingdom of",2013,4,US dollar,-28440746.16847292,NA,-75736.38574604665,-40459746.36320632,-11943263.80898738
"Lesotho, Kingdom of",2014,1,US dollar,33682828.76041624,NA,-73573.47918021886,20928594.89299455,-11601889.24976151
"Lesotho, Kingdom of",2014,2,US dollar,-109689229.1475187,NA,-75874.69311994847,-131453216.170984,-21688112.33034546
"Lesotho, Kingdom of",2014,3,US dollar,-2557167.01739207,NA,-74200.56837635356,-35805787.7632216,-32642031.09935288
"Lesotho, Kingdom of",2014,4,US dollar,-85846696.95201552,NA,-71353.0748433167,-114446164.3279715,-28528114.30111262
"Lesotho, Kingdom of",2015,1,US dollar,-11306397.16034504,NA,-70691.23696529558,-40588751.59533091,-29211663.19802058
"Lesotho, Kingdom of",2015,2,US dollar,-18820369.9188645,NA,-68642.00240060793,-48199973.95840182,-29310962.03713671
"Lesotho, Kingdom of",2015,3,US dollar,-4153074.855773449,NA,-63857.14762070019,-33844340.409726,-29627408.40633185
"Lesotho, Kingdom of",2015,4,US dollar,-55753502.16591854,NA,-58429.9694135861,-81967439.1665656,-25069976.75610395
"Lesotho, Kingdom of",2016,1,US dollar,-12539106.06993333,NA,-52944.64883925864,-35964524.66401168,-23372473.94523909
"Lesotho, Kingdom of",2016,2,US dollar,67410994.32901658,NA,-55807.54935858653,45802352.477425054,-20452788.04549857
"Lesotho, Kingdom of",2016,3,US dollar,-51899116.93336569,NA,-59632.31782719015,-72430880.93030547,-18590577.74433152
"Lesotho, Kingdom of",2016,4,US dollar,-37630313.71753677,NA,-60288.53774975935,-54509328.55782186,-16818726.30253533
"Lesotho, Kingdom of",2017,1,US dollar,62394962.69141353,NA,-62336.82995569265,52467850.82501508,-9864775.036442796
"Lesotho, Kingdom of",2017,2,US dollar,2825921.272480443,NA,-62386.65352269799,-8570463.782573977,-9484833.516877834
"Lesotho, Kingdom of",2017,3,US dollar,104983708.9897114,NA,-62727.67146781028,86572472.84540763,-13614502.22197191
"Lesotho, Kingdom of",2017,4,US dollar,-1293851.002006689,NA,-60543.77319743027,-10559049.56650991,-9204654.791305792
